A,B,Weight
2000,Sinaloa,17
2001,Sinaloa,21
2002,Sinaloa,12
2003,Sinaloa,15
2004,Sinaloa,38
2005,Sinaloa,73
2006,Sinaloa,75
2007,Sinaloa,109
2008,Sinaloa,142
2009,Sinaloa,147
2010,Sinaloa,176
