A,B,Weight
1,Juarez,1
1,Zetas,2
2,Otros,1
2,Tijuana,5
4,Beltran_Leyva,1
4,Sinaloa,1
4,Zetas,1
5,Golfo,4
5,Juarez,1
5,Zetas,4
6,Beltran_Leyva,1
6,Familia,1
6,Golfo,1
6,Sinaloa,1
7,Golfo,2
7,Sinaloa,1
8,Beltran_Leyva,2
8,Juarez,6
8,Sinaloa,4
8,Tijuana,1
8,Zetas,1
9,Tijuana,1
10,Golfo,2
10,Sinaloa,1
10,Tijuana,1
10,Zetas,3
11,Golfo,2
11,Sinaloa,2
12,Golfo,1
12,Juarez,1
14,Beltran_Leyva,1
14,Golfo,3
14,Sinaloa,2
14,Zetas,1
15,Golfo,3
15,Otros,1
15,Sinaloa,8
15,Tijuana,2
15,Zetas,7
16,Familia,3
16,Golfo,5
16,Zetas,3
17,Juarez,1
18,Sinaloa,1
19,Beltran_Leyva,3
19,Golfo,3
19,Juarez,1
19,Sinaloa,4
19,Tijuana,1
19,Zetas,5
20,Golfo,1
21,Golfo,1
21,Tijuana,1
21,Zetas,3
22,Sinaloa,1
25,Beltran_Leyva,1
25,Golfo,1
25,Juarez,1
25,Otros,1
25,Sinaloa,6
25,Tijuana,1
25,Zetas,3
26,Juarez,2
26,Sinaloa,2
26,Tijuana,1
28,Beltran_Leyva,2
28,Familia,1
28,Golfo,7
28,Juarez,1
28,Sinaloa,2
28,Tijuana,1
28,Zetas,4
30,Golfo,2
30,Juarez,2
30,Otros,1
31,Golfo,1
31,Juarez,1
31,Zetas,2
32,Golfo,2
32,Sinaloa,2
