A,B,Weight
1,Familia,1
1,Golfo,1
1,Sinaloa,2
1,Zetas,5
2,Juarez,1
2,Otros,5
2,Sinaloa,3
2,Sinaloa_Family,1
2,Tijuana,5
2,Zetas,1
3,Tijuana,2
4,Golfo,1
4,Zetas,3
5,Golfo,10
5,Juarez,1
5,Sinaloa,1
5,Zetas,14
6,Beltran_Leyva,1
6,Golfo,1
6,Juarez,1
6,Otros,2
6,Sinaloa,2
6,Sinaloa_Family,1
7,Beltran_Leyva,1
7,Golfo,4
7,Juarez,2
7,Sinaloa,3
7,Tijuana,1
7,Zetas,6
8,Beltran_Leyva,2
8,Golfo,8
8,Juarez,11
8,Sinaloa,9
8,Tijuana,4
8,Zetas,8
9,Beltran_Leyva,1
9,Familia,1
9,Golfo,3
9,Juarez,1
9,Sinaloa,5
9,Zetas,6
10,Golfo,1
10,Juarez,5
10,Otros,1
10,Sinaloa,6
10,Tijuana,1
10,Zetas,2
11,Beltran_Leyva,2
11,Familia,1
11,Golfo,1
11,Juarez,2
11,Sinaloa,8
11,Sinaloa_Family,1
11,Zetas,4
12,Beltran_Leyva,1
12,Beltran_Leyva_Family,1
12,Familia,3
12,Golfo,6
12,Juarez,1
12,Otros,1
12,Sinaloa,4
12,Sinaloa_Family,2
12,Tijuana,1
12,Zetas,8
13,Golfo,3
13,Zetas,5
14,Beltran_Leyva,3
14,Golfo,5
14,Juarez,1
14,Otros,1
14,Sinaloa,6
14,Tijuana,2
14,Zetas,4
15,Beltran_Leyva,2
15,Beltran_Leyva_Family,1
15,Golfo,3
15,Juarez,4
15,Otros,2
15,Sinaloa,10
15,Tijuana,6
15,Zetas,4
16,Beltran_Leyva,5
16,Familia,18
16,Golfo,21
16,Juarez,2
16,Sinaloa,6
16,Tijuana,1
16,Zetas,22
17,Beltran_Leyva,3
17,Golfo,4
17,Sinaloa,2
17,Tijuana,1
17,Zetas,2
18,Zetas,1
19,Beltran_Leyva,8
19,Beltran_Leyva_Family,6
19,Familia,1
19,Golfo,29
19,Sinaloa,7
19,Sinaloa_Family,1
19,Tijuana,1
19,Zetas,25
20,Beltran_Leyva,1
20,Golfo,5
20,Otros,1
20,Sinaloa,1
20,Zetas,5
21,Beltran_Leyva,1
21,Golfo,3
21,Otros,1
21,Sinaloa,2
21,Sinaloa_Family,1
21,Tijuana,2
21,Zetas,4
22,Beltran_Leyva,2
22,Golfo,2
23,Beltran_Leyva,1
23,Golfo,3
23,Otros,1
23,Sinaloa,1
23,Zetas,1
24,Familia,1
24,Golfo,2
24,Zetas,2
25,Beltran_Leyva,5
25,Familia,1
25,Golfo,5
25,Juarez,1
25,Otros,1
25,Sinaloa,13
25,Tijuana,1
25,Zetas,6
26,Beltran_Leyva,4
26,Beltran_Leyva_Family,1
26,Golfo,4
26,Juarez,2
26,Sinaloa,8
26,Zetas,5
27,Familia,1
27,Golfo,10
27,Otros,1
27,Zetas,8
28,Beltran_Leyva,3
28,Familia,2
28,Golfo,27
28,Juarez,2
28,Otros,3
28,Sinaloa,3
28,Tijuana,1
28,Zetas,13
29,Zetas,1
30,Golfo,19
30,Juarez,1
30,Otros,2
30,Sinaloa,2
30,Sinaloa_Family,2
30,Zetas,16
31,Beltran_Leyva,2
31,Familia,1
31,Golfo,4
31,Juarez,2
31,Sinaloa,2
31,Sinaloa_Family,1
31,Zetas,2
32,Golfo,5
32,Juarez,2
32,Sinaloa,3
32,Zetas,7
