A,B,Weight
1,Beltran_Leyva,1
1,Familia,1
1,Golfo,2
1,Sinaloa,1
1,Zetas,5
2,Familia,1
2,Otros,5
2,Sinaloa_Family,1
2,Tijuana,5
2,Zetas,2
3,Beltran_Leyva_Family,1
3,Golfo,1
3,Otros,2
3,Sinaloa,1
3,Tijuana,2
4,Beltran_Leyva,1
4,Golfo,3
4,Zetas,3
5,Beltran_Leyva,3
5,Beltran_Leyva_Family,6
5,Familia,1
5,Golfo,14
5,Juarez,4
5,Otros,1
5,Sinaloa,4
5,Sinaloa_Family,1
5,Tijuana,3
5,Zetas,15
6,Familia,3
6,Golfo,2
6,Otros,2
6,Sinaloa,2
6,Zetas,3
7,Beltran_Leyva,2
7,Golfo,10
7,Juarez,1
7,Sinaloa,1
7,Sinaloa_Family,1
7,Zetas,21
8,Beltran_Leyva,2
8,Beltran_Leyva_Family,1
8,Familia,6
8,Golfo,10
8,Juarez,28
8,Otros,2
8,Sinaloa,32
8,Sinaloa_Family,3
8,Tijuana,5
8,Zetas,8
9,Beltran_Leyva,8
9,Beltran_Leyva_Family,1
9,Familia,3
9,Golfo,2
9,Sinaloa,7
9,Sinaloa_Family,2
9,Tijuana,2
9,Zetas,4
10,Beltran_Leyva,1
10,Beltran_Leyva_Family,1
10,Familia,2
10,Golfo,4
10,Juarez,1
10,Otros,1
10,Sinaloa,19
10,Sinaloa_Family,3
10,Tijuana,3
10,Zetas,9
11,Beltran_Leyva,1
11,Familia,34
11,Golfo,22
11,Otros,1
11,Sinaloa,2
11,Zetas,30
12,Beltran_Leyva,20
12,Beltran_Leyva_Family,8
12,Familia,14
12,Golfo,3
12,Otros,3
12,Sinaloa,3
12,Sinaloa_Family,10
12,Zetas,14
13,Beltran_Leyva,1
13,Golfo,6
13,Sinaloa,1
13,Zetas,12
14,Beltran_Leyva,2
14,Beltran_Leyva_Family,1
14,Familia,2
14,Golfo,7
14,Juarez,2
14,Otros,2
14,Sinaloa,11
14,Sinaloa_Family,1
14,Tijuana,1
14,Zetas,14
15,Beltran_Leyva,32
15,Beltran_Leyva_Family,4
15,Familia,32
15,Golfo,3
15,Juarez,3
15,Otros,2
15,Sinaloa,9
15,Sinaloa_Family,2
15,Tijuana,2
15,Zetas,34
16,Beltran_Leyva,1
16,Beltran_Leyva_Family,3
16,Familia,68
16,Golfo,10
16,Juarez,1
16,Otros,4
16,Sinaloa,4
16,Sinaloa_Family,3
16,Tijuana,3
16,Zetas,24
17,Beltran_Leyva,21
17,Beltran_Leyva_Family,13
17,Familia,2
17,Juarez,2
17,Otros,1
17,Sinaloa,1
17,Sinaloa_Family,1
17,Zetas,2
18,Beltran_Leyva,1
18,Beltran_Leyva_Family,1
18,Familia,1
18,Otros,1
18,Sinaloa,1
18,Zetas,2
19,Beltran_Leyva,9
19,Beltran_Leyva_Family,7
19,Golfo,31
19,Juarez,2
19,Otros,3
19,Sinaloa,4
19,Tijuana,1
19,Zetas,34
20,Familia,3
20,Golfo,4
20,Sinaloa,3
20,Zetas,10
21,Beltran_Leyva,6
21,Familia,6
21,Golfo,17
21,Juarez,2
21,Otros,1
21,Sinaloa,1
21,Zetas,26
22,Beltran_Leyva,2
22,Familia,1
22,Golfo,1
22,Sinaloa,1
23,Beltran_Leyva,3
23,Familia,2
23,Golfo,7
23,Otros,1
23,Sinaloa,1
23,Zetas,5
24,Familia,2
24,Golfo,3
24,Juarez,1
24,Zetas,4
25,Beltran_Leyva,12
25,Beltran_Leyva_Family,2
25,Golfo,3
25,Juarez,5
25,Otros,3
25,Sinaloa,14
25,Sinaloa_Family,3
25,Tijuana,4
25,Zetas,7
26,Beltran_Leyva,11
26,Beltran_Leyva_Family,1
26,Familia,2
26,Golfo,5
26,Juarez,2
26,Sinaloa,9
26,Sinaloa_Family,2
26,Tijuana,2
26,Zetas,4
27,Beltran_Leyva,2
27,Golfo,13
27,Otros,1
27,Zetas,16
28,Beltran_Leyva,3
28,Beltran_Leyva_Family,2
28,Familia,3
28,Golfo,29
28,Juarez,2
28,Otros,3
28,Sinaloa,6
28,Sinaloa_Family,2
28,Tijuana,3
28,Zetas,23
29,Zetas,1
30,Beltran_Leyva,7
30,Beltran_Leyva_Family,2
30,Familia,3
30,Golfo,25
30,Juarez,1
30,Otros,3
30,Sinaloa,3
30,Tijuana,1
30,Zetas,36
31,Beltran_Leyva,3
31,Golfo,4
31,Juarez,1
31,Otros,1
31,Sinaloa,2
31,Sinaloa_Family,1
31,Zetas,5
32,Beltran_Leyva,2
32,Beltran_Leyva_Family,1
32,Golfo,13
32,Juarez,1
32,Sinaloa,4
32,Sinaloa_Family,2
32,Zetas,14
