A,B,Weight
1,Tijuana,1
2,Juarez,1
2,Tijuana,2
4,Golfo,1
4,Zetas,1
5,Golfo,3
5,Juarez,5
5,Tijuana,1
6,Beltran_Leyva,1
6,Juarez,1
6,Sinaloa,1
7,Sinaloa,1
7,Tijuana,1
8,Golfo,3
8,Juarez,2
8,Tijuana,1
10,Golfo,1
10,Juarez,3
11,Zetas,3
12,Juarez,1
12,Sinaloa_Family,1
12,Tijuana,1
14,Juarez,2
14,Sinaloa,1
14,Tijuana,2
14,Zetas,1
15,Golfo,3
15,Sinaloa,2
15,Tijuana,1
15,Zetas,1
16,Tijuana,1
17,Beltran_Leyva,1
18,Sinaloa,1
19,Golfo,2
19,Sinaloa,1
19,Tijuana,1
19,Zetas,4
21,Tijuana,1
24,Golfo,1
25,Beltran_Leyva,3
25,Juarez,1
25,Sinaloa,4
25,Tijuana,3
25,Zetas,2
26,Sinaloa,3
26,Tijuana,1
28,Golfo,9
28,Juarez,1
28,Sinaloa,1
28,Zetas,4
30,Golfo,6
30,Otros,1
30,Zetas,3
31,Golfo,2
31,Zetas,2
