A,B,Weight
1,Sinaloa,1
2,Golfo,2
2,Sinaloa,1
2,Tijuana,3
3,Tijuana,1
4,Juarez,1
5,Sinaloa,1
6,Juarez,1
6,Sinaloa,1
8,Juarez,1
8,Sinaloa,2
8,Sinaloa_Family,2
9,Sinaloa,1
9,Tijuana,2
9,Zetas,1
10,Sinaloa,3
11,Juarez,1
12,Beltran_Leyva,2
12,Sinaloa_Family,1
13,Beltran_Leyva,1
13,Sinaloa,1
14,Sinaloa,3
15,Beltran_Leyva,1
15,Golfo,1
15,Juarez,1
15,Sinaloa,1
15,Tijuana,1
16,Beltran_Leyva,1
16,Tijuana,1
19,Beltran_Leyva,1
19,Golfo,1
19,Juarez,1
19,Sinaloa,2
19,Tijuana,1
21,Juarez,1
21,Sinaloa,1
22,Tijuana,1
24,Beltran_Leyva,1
24,Tijuana,1
25,Beltran_Leyva,2
25,Golfo,1
25,Sinaloa,1
25,Tijuana,1
25,Zetas,1
26,Juarez,1
26,Sinaloa,1
26,Tijuana,2
28,Beltran_Leyva,1
28,Golfo,4
28,Zetas,1
30,Juarez,2
30,Sinaloa,1
30,Sinaloa_Family,1
31,Juarez,1
