A,B,Weight
1,Beltran_Leyva,1
1,Familia,1
1,Golfo,2
1,Juarez,1
1,Sinaloa,1
1,Zetas,2
2,Otros,5
2,Sinaloa,2
2,Sinaloa_Family,1
2,Tijuana,5
2,Zetas,1
3,Familia,1
3,Golfo,1
3,Otros,1
3,Tijuana,1
4,Golfo,2
4,Zetas,3
5,Beltran_Leyva,4
5,Beltran_Leyva_Family,1
5,Golfo,14
5,Juarez,2
5,Sinaloa,10
5,Sinaloa_Family,1
5,Tijuana,1
5,Zetas,12
6,Beltran_Leyva,1
6,Golfo,4
6,Sinaloa,2
6,Zetas,1
7,Beltran_Leyva,1
7,Golfo,15
7,Otros,1
7,Sinaloa_Family,1
7,Zetas,17
8,Beltran_Leyva,3
8,Beltran_Leyva_Family,2
8,Familia,4
8,Golfo,3
8,Juarez,27
8,Otros,3
8,Sinaloa,15
8,Sinaloa_Family,3
8,Tijuana,5
8,Zetas,6
9,Beltran_Leyva,8
9,Familia,5
9,Golfo,4
9,Sinaloa,10
9,Sinaloa_Family,4
9,Zetas,3
10,Beltran_Leyva,5
10,Beltran_Leyva_Family,4
10,Familia,4
10,Golfo,6
10,Juarez,2
10,Sinaloa,9
10,Sinaloa_Family,2
10,Zetas,8
11,Familia,18
11,Golfo,27
11,Otros,1
11,Sinaloa,3
11,Sinaloa_Family,1
11,Zetas,15
12,Beltran_Leyva,10
12,Beltran_Leyva_Family,5
12,Familia,4
12,Golfo,2
12,Juarez,3
12,Otros,3
12,Sinaloa,10
12,Sinaloa_Family,8
12,Zetas,11
13,Beltran_Leyva,2
13,Golfo,5
13,Zetas,8
14,Beltran_Leyva,5
14,Beltran_Leyva_Family,1
14,Golfo,5
14,Juarez,1
14,Sinaloa,11
14,Tijuana,1
14,Zetas,7
15,Beltran_Leyva,15
15,Beltran_Leyva_Family,1
15,Familia,30
15,Golfo,11
15,Otros,7
15,Sinaloa,8
15,Sinaloa_Family,2
15,Tijuana,4
15,Zetas,29
16,Beltran_Leyva,4
16,Familia,27
16,Golfo,21
16,Juarez,2
16,Otros,1
16,Sinaloa,3
16,Sinaloa_Family,4
16,Tijuana,3
16,Zetas,28
17,Beltran_Leyva,10
17,Beltran_Leyva_Family,3
17,Golfo,3
17,Otros,1
17,Sinaloa,5
17,Zetas,3
18,Beltran_Leyva,1
18,Beltran_Leyva_Family,1
18,Familia,1
18,Sinaloa,1
18,Zetas,1
19,Beltran_Leyva,5
19,Beltran_Leyva_Family,2
19,Familia,3
19,Golfo,20
19,Juarez,1
19,Sinaloa,10
19,Sinaloa_Family,2
19,Tijuana,1
19,Zetas,20
20,Beltran_Leyva,1
20,Golfo,9
20,Sinaloa,1
20,Zetas,10
21,Beltran_Leyva,3
21,Familia,4
21,Golfo,12
21,Juarez,1
21,Otros,1
21,Sinaloa,2
21,Tijuana,2
21,Zetas,24
22,Beltran_Leyva,2
22,Golfo,1
22,Zetas,1
23,Familia,2
23,Golfo,4
23,Sinaloa,2
23,Zetas,7
24,Golfo,7
24,Juarez,1
24,Sinaloa_Family,1
24,Zetas,2
25,Beltran_Leyva,11
25,Beltran_Leyva_Family,3
25,Golfo,2
25,Juarez,5
25,Otros,2
25,Sinaloa,13
25,Sinaloa_Family,2
25,Tijuana,1
25,Zetas,3
26,Beltran_Leyva,7
26,Golfo,6
26,Juarez,1
26,Sinaloa,6
26,Tijuana,2
26,Zetas,10
27,Familia,2
27,Golfo,14
27,Sinaloa,1
27,Zetas,14
28,Beltran_Leyva,2
28,Beltran_Leyva_Family,2
28,Familia,5
28,Golfo,25
28,Otros,5
28,Sinaloa,6
28,Sinaloa_Family,3
28,Tijuana,2
28,Zetas,21
29,Zetas,1
30,Beltran_Leyva,3
30,Beltran_Leyva_Family,1
30,Familia,5
30,Golfo,24
30,Juarez,2
30,Otros,1
30,Sinaloa,7
30,Zetas,36
31,Beltran_Leyva,2
31,Golfo,4
31,Sinaloa,1
31,Sinaloa_Family,1
31,Zetas,5
32,Beltran_Leyva,2
32,Familia,2
32,Golfo,12
32,Sinaloa,3
32,Sinaloa_Family,1
32,Zetas,12
