A,B,Weight
1,Familia,1
1,Juarez,1
1,Sinaloa,1
2,Familia,1
2,Golfo,1
2,Juarez,1
2,Sinaloa,2
2,Tijuana,5
3,Juarez,1
3,Tijuana,1
4,Sinaloa,1
5,Beltran_Leyva,2
5,Familia,1
5,Golfo,2
5,Juarez,5
5,Sinaloa,3
5,Tijuana,2
5,Zetas,3
6,Beltran_Leyva,1
6,Golfo,1
6,Juarez,1
6,Sinaloa,1
7,Beltran_Leyva,1
7,Golfo,4
7,Juarez,3
7,Sinaloa,1
7,Tijuana,1
7,Zetas,6
8,Beltran_Leyva,4
8,Familia,3
8,Golfo,6
8,Juarez,6
8,Sinaloa,5
8,Zetas,5
9,Beltran_Leyva,1
9,Golfo,3
9,Juarez,1
9,Sinaloa,2
9,Zetas,2
10,Beltran_Leyva,2
10,Familia,1
10,Golfo,1
10,Sinaloa,3
10,Zetas,2
11,Beltran_Leyva,2
11,Familia,1
11,Golfo,3
11,Juarez,1
11,Sinaloa,1
11,Zetas,2
12,Beltran_Leyva,5
12,Golfo,1
12,Sinaloa,1
12,Sinaloa_Family,6
12,Zetas,3
14,Beltran_Leyva,3
14,Familia,2
14,Golfo,5
14,Otros,1
14,Sinaloa,6
14,Tijuana,1
14,Zetas,6
15,Beltran_Leyva,4
15,Golfo,8
15,Sinaloa,3
15,Tijuana,4
15,Zetas,2
16,Beltran_Leyva,1
16,Familia,3
16,Golfo,16
16,Juarez,3
16,Sinaloa,3
16,Zetas,6
17,Familia,1
17,Sinaloa,3
17,Zetas,1
18,Familia,1
18,Sinaloa,2
19,Beltran_Leyva,2
19,Familia,2
19,Golfo,7
19,Juarez,2
19,Sinaloa,6
19,Zetas,6
20,Golfo,2
20,Zetas,1
21,Beltran_Leyva,2
21,Familia,1
21,Golfo,3
21,Zetas,2
22,Sinaloa,1
23,Golfo,1
23,Juarez,1
23,Zetas,1
24,Beltran_Leyva,1
24,Familia,1
24,Golfo,1
25,Beltran_Leyva,3
25,Juarez,2
25,Otros,1
25,Sinaloa,12
25,Tijuana,1
25,Zetas,3
26,Beltran_Leyva,5
26,Golfo,2
26,Juarez,2
26,Sinaloa,5
26,Zetas,2
27,Beltran_Leyva,1
27,Juarez,1
27,Sinaloa,1
28,Beltran_Leyva,4
28,Familia,1
28,Golfo,8
28,Juarez,2
28,Sinaloa,4
28,Tijuana,1
28,Zetas,8
30,Familia,2
30,Golfo,7
30,Juarez,1
30,Sinaloa,3
30,Tijuana,1
30,Zetas,9
31,Beltran_Leyva,1
31,Golfo,2
31,Zetas,3
32,Beltran_Leyva,4
32,Familia,2
32,Golfo,2
32,Juarez,1
32,Sinaloa,3
32,Zetas,2
