A,B,Weight
1,Golfo,1
1,Juarez,1
1,Tijuana,1
1,Zetas,2
2,Beltran_Leyva,1
2,Otros,4
2,Sinaloa,1
2,Tijuana,5
3,Sinaloa,1
3,Tijuana,2
4,Golfo,1
4,Sinaloa,1
4,Zetas,2
5,Golfo,3
5,Juarez,2
5,Sinaloa,3
5,Zetas,8
6,Sinaloa,1
7,Golfo,2
7,Juarez,4
7,Sinaloa,2
7,Tijuana,1
7,Zetas,2
8,Beltran_Leyva,4
8,Beltran_Leyva_Family,1
8,Familia,2
8,Golfo,3
8,Juarez,5
8,Sinaloa,9
8,Sinaloa_Family,1
8,Tijuana,6
8,Zetas,2
9,Beltran_Leyva,2
9,Familia,1
9,Golfo,3
9,Juarez,1
9,Sinaloa,1
9,Zetas,1
10,Beltran_Leyva,1
10,Familia,1
10,Golfo,2
10,Juarez,1
10,Sinaloa,2
10,Zetas,2
11,Beltran_Leyva,1
11,Familia,2
11,Golfo,4
11,Juarez,3
11,Sinaloa,3
11,Zetas,2
12,Beltran_Leyva,4
12,Golfo,2
12,Sinaloa,4
12,Zetas,6
13,Golfo,1
13,Zetas,2
14,Golfo,6
14,Sinaloa,5
14,Tijuana,1
14,Zetas,7
15,Beltran_Leyva,5
15,Golfo,6
15,Juarez,3
15,Sinaloa,3
15,Tijuana,4
15,Zetas,1
16,Beltran_Leyva,4
16,Familia,32
16,Golfo,19
16,Juarez,1
16,Otros,1
16,Sinaloa,8
16,Tijuana,1
16,Zetas,17
17,Golfo,3
17,Zetas,1
18,Juarez,1
18,Sinaloa,1
18,Zetas,1
19,Beltran_Leyva,7
19,Beltran_Leyva_Family,5
19,Golfo,13
19,Juarez,3
19,Otros,1
19,Sinaloa,5
19,Zetas,15
20,Golfo,1
20,Sinaloa,1
20,Zetas,4
21,Beltran_Leyva,1
21,Golfo,3
21,Sinaloa,1
21,Tijuana,3
21,Zetas,2
22,Sinaloa,1
23,Golfo,3
23,Zetas,3
24,Golfo,1
24,Tijuana,1
24,Zetas,2
25,Beltran_Leyva,3
25,Beltran_Leyva_Family,1
25,Familia,2
25,Golfo,3
25,Otros,2
25,Sinaloa,7
25,Tijuana,2
25,Zetas,8
26,Beltran_Leyva,5
26,Golfo,2
26,Juarez,1
26,Sinaloa,6
26,Tijuana,1
26,Zetas,5
27,Golfo,10
27,Zetas,3
28,Beltran_Leyva,3
28,Familia,5
28,Golfo,13
28,Juarez,1
28,Otros,3
28,Sinaloa,5
28,Tijuana,1
28,Zetas,10
30,Beltran_Leyva,1
30,Golfo,5
30,Juarez,1
30,Otros,1
30,Sinaloa,1
30,Zetas,10
31,Beltran_Leyva,1
31,Golfo,1
31,Otros,1
31,Sinaloa,2
31,Zetas,1
32,Familia,1
32,Golfo,1
32,Juarez,1
32,Sinaloa,1
32,Tijuana,2
