State,Year,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
30,1999,0,0,0,0,3,1,0,0,0,0
30,2000,0,0,0,3,1,1,0,0,0,0
30,2001,0,0,0,0,2,1,1,0,0,0
30,2002,0,0,0,1,1,1,0,0,0,0
30,2003,0,0,0,6,0,0,0,0,3,1
30,2004,0,0,0,2,2,0,0,0,0,1
30,2005,0,0,2,7,1,3,0,1,9,0
30,2006,1,0,0,5,1,1,0,0,10,1
30,2007,0,0,0,19,1,2,2,0,16,2
30,2008,3,1,5,24,2,7,0,0,36,1
30,2009,7,2,3,25,1,3,0,1,36,3
30,2010,9,2,5,23,2,13,0,2,41,1
31,1990,0,0,0,0,0,0,0,0,0,0
31,1991,0,0,0,0,0,0,0,0,0,0
31,1992,0,0,0,0,0,0,0,0,0,0
31,1993,0,0,0,0,0,0,0,0,0,0
31,1994,0,0,0,1,0,0,0,0,0,0
31,1995,0,0,0,0,0,0,0,0,0,0
31,1996,0,0,0,0,0,0,0,0,0,0
31,1997,0,0,0,0,0,0,0,0,0,0
31,1998,0,0,0,0,0,0,0,0,0,0
31,1999,0,0,0,0,0,0,0,1,0,0
31,2000,0,0,0,3,1,0,0,0,0,0
31,2001,0,0,0,0,1,0,0,0,0,0
31,2002,0,0,0,1,1,0,0,0,0,0
31,2003,0,0,0,2,0,0,0,0,2,0
31,2004,0,0,0,1,1,0,0,0,2,0
31,2005,1,0,0,2,0,0,0,0,3,0
31,2006,1,0,0,1,0,2,0,0,1,1
31,2007,2,0,1,4,2,2,1,0,2,0
31,2008,2,0,0,4,0,1,1,0,5,0
31,2009,3,0,0,4,1,2,1,0,5,1
31,2010,2,0,0,3,1,2,0,0,7,1
32,1990,0,0,0,0,0,0,0,0,0,0
32,1991,0,0,0,0,0,0,0,0,0,0
32,1992,0,0,0,0,0,0,0,0,0,0
32,1993,0,0,0,0,0,0,0,0,0,0
32,1994,0,0,0,0,0,0,0,0,0,0
32,1995,0,0,0,0,0,0,0,0,0,0
32,1996,0,0,0,0,0,0,0,0,0,0
32,1997,0,0,0,0,0,0,0,1,0,0
32,1998,0,0,0,0,0,0,0,0,0,0
32,1999,0,0,0,0,0,0,0,0,0,0
32,2000,0,0,0,1,0,0,0,0,0,0
32,2001,0,0,0,0,0,0,0,0,0,0
32,2002,0,0,0,0,0,0,0,0,0,0
32,2003,0,0,0,0,0,0,0,0,0,0
32,2004,0,0,0,2,0,2,0,0,0,0
32,2005,4,0,2,2,1,3,0,0,2,0
32,2006,0,0,1,1,1,1,0,2,0,0
32,2007,0,0,0,5,2,3,0,0,7,0
32,2008,2,0,2,12,0,3,1,0,12,0
32,2009,2,1,0,13,1,4,2,0,14,0
32,2010,2,0,2,13,1,5,1,0,13,0
