A,B,Weight
1994,Golfo,1
1999,Golfo,1
1995,Golfo,1
1994,Golfo,1
1997,Golfo,2
1998,Golfo,1
1994,Golfo,1
1996,Golfo,2
1995,Golfo,1
1996,Golfo,1
1999,Golfo,1
1994,Golfo,1
1998,Golfo,1
1994,Golfo,1
1993,Golfo,1
1994,Golfo,2
1995,Golfo,1
1996,Golfo,2
1998,Golfo,1
1999,Golfo,1
1996,Golfo,1
1996,Golfo,1
1997,Golfo,1
1998,Golfo,1
1999,Golfo,1
1996,Golfo,1
1998,Golfo,1
1991,Golfo,3
1992,Golfo,1
1994,Golfo,4
1995,Golfo,3
1996,Golfo,2
1997,Golfo,1
1998,Golfo,2
1994,Golfo,1
1995,Golfo,1
1996,Golfo,1
1997,Golfo,2
1998,Golfo,1
1994,Golfo,1
