A,B,Weight
1992,Tijuana,3
1993,Tijuana,1
1994,Tijuana,2
1995,Tijuana,1
1996,Tijuana,1
1997,Tijuana,2
1998,Tijuana,3
1999,Tijuana,1
1998,Tijuana,1
1996,Tijuana,1
1999,Tijuana,1
1993,Tijuana,1
1999,Tijuana,1
1997,Tijuana,1
1994,Tijuana,1
1995,Tijuana,1
1998,Tijuana,1
1997,Tijuana,3
1993,Tijuana,1
1996,Tijuana,3
1997,Tijuana,1
1994,Tijuana,1
1998,Tijuana,1
1994,Tijuana,2
1995,Tijuana,1
1996,Tijuana,1
1997,Tijuana,3
1998,Tijuana,2
1993,Tijuana,2
1995,Tijuana,1
1996,Tijuana,2
1997,Tijuana,1
1999,Tijuana,2
1996,Tijuana,1
1997,Tijuana,1
1996,Tijuana,1
1999,Tijuana,1
1993,Tijuana,1
1997,Tijuana,1
1999,Tijuana,2
1999,Tijuana,1
1997,Tijuana,1
