A,B,Weight
1996,Juarez,1
1997,Juarez,1
1998,Juarez,1
1999,Juarez,1
1997,Juarez,1
1996,Juarez,1
1998,Juarez,1
1995,Juarez,1
1996,Juarez,3
1997,Juarez,4
1998,Juarez,2
1999,Juarez,5
1995,Juarez,1
1999,Juarez,1
1997,Juarez,1
1996,Juarez,1
1997,Juarez,2
1995,Juarez,1
1997,Juarez,1
1998,Juarez,1
1997,Juarez,2
1998,Juarez,2
1998,Juarez,2
1995,Juarez,1
1997,Juarez,1
1998,Juarez,2
1996,Juarez,1
1997,Juarez,1
1998,Juarez,1
1993,Juarez,1
1996,Juarez,1
1997,Juarez,3
1998,Juarez,2
1996,Juarez,1
1997,Juarez,1
1998,Juarez,3
1999,Juarez,1
1993,Juarez,1
1995,Juarez,1
1996,Juarez,1
1997,Juarez,1
1998,Juarez,1
1999,Juarez,3
