A,Bridge,B,Weight
1,1997,Sinaloa,1
2,1992,Tijuana,3
2,1992,Zetas,1
2,1993,Sinaloa,1
2,1993,Tijuana,1
2,1993,Zetas,1
2,1994,Golfo,1
2,1994,Tijuana,2
2,1994,Zetas,1
2,1995,Sinaloa,1
2,1995,Tijuana,1
2,1996,Juarez,1
2,1996,Sinaloa,1
2,1996,Tijuana,1
2,1997,Juarez,1
2,1997,Sinaloa,1
2,1997,Sinaloa_Family,1
2,1997,Tijuana,2
2,1998,Juarez,1
2,1998,Sinaloa,1
2,1998,Tijuana,3
2,1999,Golfo,1
2,1999,Juarez,1
2,1999,Tijuana,1
2,1999,Zetas,1
3,1998,Tijuana,1
4,1995,Golfo,1
4,1996,Tijuana,1
4,1997,Juarez,1
4,1999,Tijuana,1
5,1993,Tijuana,1
5,1994,Golfo,1
5,1996,Juarez,1
5,1997,Golfo,2
5,1999,Tijuana,1
6,1997,Tijuana,1
6,1998,Juarez,1
7,1993,Sinaloa,1
7,1994,Tijuana,1
7,1995,Tijuana,1
7,1998,Golfo,1
7,1998,Sinaloa,1
7,1998,Tijuana,1
7,1998,Zetas,2
8,1993,Sinaloa,3
8,1994,Golfo,1
8,1995,Juarez,1
8,1996,Golfo,2
8,1996,Juarez,3
8,1996,Sinaloa,1
8,1997,Juarez,4
8,1997,Sinaloa,1
8,1997,Tijuana,3
8,1998,Juarez,2
8,1999,Juarez,5
9,1993,Tijuana,1
9,1994,Zetas,1
10,1995,Juarez,1
10,1996,Tijuana,3
10,1997,Tijuana,1
10,1999,Juarez,1
11,1993,Sinaloa,1
11,1994,Tijuana,1
11,1994,Zetas,4
11,1995,Golfo,1
11,1996,Golfo,1
11,1997,Juarez,1
11,1999,Golfo,1
12,1994,Golfo,1
12,1996,Juarez,1
12,1996,Sinaloa_Family,1
12,1997,Familia,1
12,1997,Juarez,2
12,1998,Tijuana,1
14,1993,Sinaloa,2
14,1994,Tijuana,2
14,1995,Juarez,1
14,1995,Sinaloa,3
14,1995,Tijuana,1
14,1996,Sinaloa,1
14,1996,Tijuana,1
14,1997,Juarez,1
14,1997,Sinaloa,2
14,1997,Tijuana,3
14,1998,Juarez,1
14,1998,Sinaloa,1
14,1998,Tijuana,2
14,1999,Sinaloa,1
15,1993,Tijuana,2
15,1994,Zetas,1
15,1995,Tijuana,1
15,1996,Tijuana,2
15,1996,Zetas,1
15,1997,Juarez,2
15,1997,Sinaloa,2
15,1997,Tijuana,1
15,1998,Golfo,1
15,1998,Juarez,2
15,1998,Sinaloa,1
15,1999,Zetas,1
16,1998,Juarez,2
17,1994,Golfo,1
17,1995,Juarez,1
17,1997,Juarez,1
17,1998,Juarez,2
17,1999,Zetas,1
18,1995,Sinaloa,1
19,1993,Golfo,1
19,1994,Golfo,2
19,1995,Golfo,1
19,1996,Golfo,2
19,1996,Juarez,1
19,1997,Juarez,1
19,1998,Golfo,1
19,1999,Golfo,1
19,1999,Tijuana,2
20,1996,Golfo,1
20,1996,Tijuana,1
20,1998,Zetas,1
21,1993,Sinaloa,1
21,1996,Golfo,1
21,1997,Golfo,1
21,1998,Golfo,1
21,1998,Zetas,1
21,1999,Golfo,1
22,1994,Zetas,1
23,1998,Juarez,1
24,1996,Golfo,1
24,1997,Tijuana,1
25,1991,Sinaloa,2
25,1992,Zetas,1
25,1993,Juarez,1
25,1993,Sinaloa,1
25,1993,Zetas,1
25,1994,Sinaloa,2
25,1994,Zetas,1
25,1995,Sinaloa,1
25,1996,Juarez,1
25,1997,Sinaloa,2
25,1998,Sinaloa,4
25,1999,Zetas,1
26,1991,Sinaloa,1
26,1993,Zetas,1
26,1994,Zetas,1
26,1995,Sinaloa,1
26,1996,Tijuana,1
26,1997,Juarez,3
26,1998,Golfo,1
26,1998,Juarez,2
26,1998,Sinaloa,2
26,1999,Tijuana,1
26,1999,Zetas,1
27,1998,Zetas,1
28,1991,Golfo,3
28,1992,Golfo,1
28,1993,Sinaloa,1
28,1993,Tijuana,1
28,1994,Golfo,4
28,1995,Golfo,3
28,1996,Golfo,2
28,1996,Juarez,1
28,1997,Golfo,1
28,1997,Juarez,1
28,1997,Sinaloa,1
28,1997,Tijuana,1
28,1998,Golfo,2
28,1998,Juarez,3
28,1999,Juarez,1
28,1999,Tijuana,2
30,1993,Juarez,1
30,1993,Sinaloa,1
30,1994,Golfo,1
30,1995,Golfo,1
30,1995,Juarez,1
30,1996,Golfo,1
30,1996,Juarez,1
30,1997,Golfo,2
30,1997,Juarez,1
30,1998,Golfo,1
30,1998,Juarez,1
30,1999,Juarez,3
30,1999,Sinaloa,1
31,1994,Golfo,1
31,1999,Tijuana,1
32,1997,Tijuana,1
