A,B,Weight
1997,Sinaloa,1
1993,Sinaloa,1
1995,Sinaloa,1
1996,Sinaloa,1
1997,Sinaloa,1
1998,Sinaloa,1
1993,Sinaloa,1
1998,Sinaloa,1
1993,Sinaloa,3
1996,Sinaloa,1
1997,Sinaloa,1
1993,Sinaloa,1
1993,Sinaloa,2
1995,Sinaloa,3
1996,Sinaloa,1
1997,Sinaloa,2
1998,Sinaloa,1
1999,Sinaloa,1
1997,Sinaloa,2
1998,Sinaloa,1
1995,Sinaloa,1
1993,Sinaloa,1
1991,Sinaloa,2
1993,Sinaloa,1
1994,Sinaloa,2
1995,Sinaloa,1
1997,Sinaloa,2
1998,Sinaloa,4
1991,Sinaloa,1
1995,Sinaloa,1
1998,Sinaloa,2
1993,Sinaloa,1
1997,Sinaloa,1
1993,Sinaloa,1
1999,Sinaloa,1
