A,Bridge,B,Weight
25,2009,Sinaloa_Family,3
25,2009,Tijuana,4
25,2009,Zetas,7
25,2009,Otros,3
25,2010,Beltran_Leyva,8
25,2010,Beltran_Leyva_Family,2
25,2010,Familia,1
25,2010,Golfo,3
25,2010,Juarez,8
25,2010,Sinaloa,14
25,2010,Sinaloa_Family,3
25,2010,Tijuana,4
25,2010,Zetas,7
25,2010,Otros,3
26,2000,Juarez,1
26,2000,Sinaloa,1
26,2001,Juarez,1
26,2001,Sinaloa,1
26,2001,Tijuana,2
26,2002,Tijuana,2
26,2003,Sinaloa,3
26,2003,Tijuana,1
26,2004,Juarez,2
26,2004,Sinaloa,2
26,2004,Tijuana,1
26,2005,Beltran_Leyva,5
26,2005,Golfo,2
26,2005,Juarez,2
26,2005,Sinaloa,5
26,2005,Zetas,2
26,2006,Beltran_Leyva,5
26,2006,Golfo,2
26,2006,Juarez,1
26,2006,Sinaloa,6
26,2006,Tijuana,1
26,2006,Zetas,5
26,2007,Beltran_Leyva,4
26,2007,Beltran_Leyva_Family,1
26,2007,Golfo,4
26,2007,Juarez,2
26,2007,Sinaloa,8
26,2007,Zetas,5
26,2008,Beltran_Leyva,7
26,2008,Golfo,6
26,2008,Juarez,1
26,2008,Sinaloa,6
26,2008,Tijuana,2
26,2008,Zetas,10
26,2009,Beltran_Leyva,11
26,2009,Beltran_Leyva_Family,1
26,2009,Familia,2
26,2009,Golfo,5
26,2009,Juarez,2
26,2009,Sinaloa,9
26,2009,Sinaloa_Family,2
26,2009,Tijuana,2
26,2009,Zetas,4
26,2010,Beltran_Leyva,10
26,2010,Beltran_Leyva_Family,1
26,2010,Familia,1
26,2010,Golfo,4
26,2010,Juarez,3
26,2010,Sinaloa,8
26,2010,Sinaloa_Family,1
26,2010,Tijuana,3
26,2010,Zetas,8
27,2005,Beltran_Leyva,1
27,2005,Juarez,1
27,2005,Sinaloa,1
27,2006,Golfo,10
27,2006,Zetas,3
27,2007,Familia,1
27,2007,Golfo,10
27,2007,Zetas,8
27,2007,Otros,1
27,2008,Familia,2
27,2008,Golfo,14
27,2008,Sinaloa,1
27,2008,Zetas,14
27,2009,Beltran_Leyva,2
27,2009,Golfo,13
27,2009,Zetas,16
27,2009,Otros,1
27,2010,Beltran_Leyva,2
27,2010,Golfo,10
27,2010,Sinaloa,1
27,2010,Zetas,16
27,2010,Otros,1
28,2000,Golfo,4
28,2000,Juarez,2
28,2000,Tijuana,4
28,2001,Beltran_Leyva,1
28,2001,Golfo,4
28,2001,Zetas,1
28,2002,Golfo,2
28,2002,Juarez,3
28,2002,Tijuana,4
28,2002,Zetas,1
28,2003,Golfo,9
28,2003,Juarez,1
28,2003,Sinaloa,1
28,2003,Zetas,4
28,2004,Beltran_Leyva,2
28,2004,Familia,1
28,2004,Golfo,7
28,2004,Juarez,1
28,2004,Sinaloa,2
28,2004,Tijuana,1
28,2004,Zetas,4
28,2005,Beltran_Leyva,4
28,2005,Familia,1
28,2005,Golfo,8
28,2005,Juarez,2
28,2005,Sinaloa,4
28,2005,Tijuana,1
28,2005,Zetas,8
28,2006,Beltran_Leyva,3
28,2006,Familia,5
28,2006,Golfo,13
28,2006,Juarez,1
28,2006,Sinaloa,5
28,2006,Tijuana,1
28,2006,Zetas,10
28,2006,Otros,3
28,2007,Beltran_Leyva,3
28,2007,Familia,2
28,2007,Golfo,27
28,2007,Juarez,2
28,2007,Sinaloa,3
28,2007,Tijuana,1
28,2007,Zetas,13
28,2007,Otros,3
28,2008,Beltran_Leyva,2
28,2008,Beltran_Leyva_Family,2
28,2008,Familia,5
28,2008,Golfo,25
28,2008,Sinaloa,6
28,2008,Sinaloa_Family,3
28,2008,Tijuana,2
28,2008,Zetas,21
28,2008,Otros,5
28,2009,Beltran_Leyva,3
28,2009,Beltran_Leyva_Family,2
28,2009,Familia,3
28,2009,Golfo,29
28,2009,Juarez,2
28,2009,Sinaloa,6
28,2009,Sinaloa_Family,2
28,2009,Tijuana,3
28,2009,Zetas,23
28,2009,Otros,3
28,2010,Beltran_Leyva,4
28,2010,Beltran_Leyva_Family,2
28,2010,Familia,3
28,2010,Golfo,33
28,2010,Juarez,2
28,2010,Sinaloa,6
28,2010,Sinaloa_Family,2
28,2010,Zetas,34
28,2010,Otros,6
29,2007,Zetas,1
29,2008,Zetas,1
29,2009,Zetas,1
29,2010,Zetas,1
30,2000,Golfo,3
30,2000,Juarez,1
30,2000,Sinaloa,1
30,2001,Juarez,2
30,2001,Sinaloa,1
30,2001,Sinaloa_Family,1
30,2002,Golfo,1
30,2002,Juarez,1
30,2002,Sinaloa,1
30,2003,Golfo,6
30,2003,Zetas,3
30,2003,Otros,1
30,2004,Golfo,2
30,2004,Juarez,2
30,2004,Otros,1
30,2005,Familia,2
30,2005,Golfo,7
30,2005,Juarez,1
30,2005,Sinaloa,3
30,2005,Tijuana,1
30,2005,Zetas,9
30,2006,Beltran_Leyva,1
30,2006,Golfo,5
30,2006,Juarez,1
30,2006,Sinaloa,1
30,2006,Zetas,10
30,2006,Otros,1
30,2007,Golfo,19
30,2007,Juarez,1
30,2007,Sinaloa,2
30,2007,Sinaloa_Family,2
30,2007,Zetas,16
30,2007,Otros,2
30,2008,Beltran_Leyva,3
30,2008,Beltran_Leyva_Family,1
30,2008,Familia,5
30,2008,Golfo,24
30,2008,Juarez,2
30,2008,Sinaloa,7
30,2008,Zetas,36
30,2008,Otros,1
30,2009,Beltran_Leyva,7
30,2009,Beltran_Leyva_Family,2
30,2009,Familia,3
30,2009,Golfo,25
30,2009,Juarez,1
30,2009,Sinaloa,3
30,2009,Tijuana,1
30,2009,Zetas,36
30,2009,Otros,3
30,2010,Beltran_Leyva,9
30,2010,Beltran_Leyva_Family,2
30,2010,Familia,5
30,2010,Golfo,23
30,2010,Juarez,2
30,2010,Sinaloa,13
30,2010,Tijuana,2
30,2010,Zetas,41
30,2010,Otros,1
31,2000,Golfo,3
31,2000,Juarez,1
31,2001,Juarez,1
31,2002,Golfo,1
31,2002,Juarez,1
31,2003,Golfo,2
31,2003,Zetas,2
31,2004,Golfo,1
31,2004,Juarez,1
31,2004,Zetas,2
31,2005,Beltran_Leyva,1
31,2005,Golfo,2
31,2005,Zetas,3
31,2006,Beltran_Leyva,1
31,2006,Golfo,1
31,2006,Sinaloa,2
31,2006,Zetas,1
31,2006,Otros,1
31,2007,Beltran_Leyva,2
31,2007,Familia,1
31,2007,Golfo,4
31,2007,Juarez,2
31,2007,Sinaloa,2
31,2007,Sinaloa_Family,1
31,2007,Zetas,2
31,2008,Beltran_Leyva,2
31,2008,Golfo,4
31,2008,Sinaloa,1
31,2008,Sinaloa_Family,1
31,2008,Zetas,5
31,2009,Beltran_Leyva,3
31,2009,Golfo,4
31,2009,Juarez,1
31,2009,Sinaloa,2
31,2009,Sinaloa_Family,1
31,2009,Zetas,5
31,2009,Otros,1
31,2010,Beltran_Leyva,2
31,2010,Golfo,3
31,2010,Juarez,1
31,2010,Sinaloa,2
31,2010,Zetas,7
31,2010,Otros,1
32,2000,Golfo,1
32,2004,Golfo,2
32,2004,Sinaloa,2
32,2005,Beltran_Leyva,4
32,2005,Familia,2
32,2005,Golfo,2
32,2005,Juarez,1
32,2005,Sinaloa,3
32,2005,Zetas,2
32,2006,Familia,1
32,2006,Golfo,1
32,2006,Juarez,1
32,2006,Sinaloa,1
32,2006,Tijuana,2
32,2007,Golfo,5
32,2007,Juarez,2
32,2007,Sinaloa,3
32,2007,Zetas,7
32,2008,Beltran_Leyva,2
32,2008,Familia,2
32,2008,Golfo,12
32,2008,Sinaloa,3
32,2008,Sinaloa_Family,1
32,2008,Zetas,12
32,2009,Beltran_Leyva,2
32,2009,Beltran_Leyva_Family,1
32,2009,Golfo,13
32,2009,Juarez,1
32,2009,Sinaloa,4
32,2009,Sinaloa_Family,2
32,2009,Zetas,14
32,2010,Beltran_Leyva,2
32,2010,Familia,2
32,2010,Golfo,13
32,2010,Juarez,1
32,2010,Sinaloa,5
32,2010,Sinaloa_Family,1
32,2010,Zetas,13
