A,B,Weight
2001_1,Sinaloa,1
2002_1,Juarez,1
2003_1,Tijuana,1
2004_1,Juarez,1
2004_1,Zetas,2
2005_1,Familia,1
2005_1,Juarez,1
2005_1,Sinaloa,1
2006_1,Golfo,1
2006_1,Juarez,1
2006_1,Tijuana,1
2006_1,Zetas,2
2007_1,Familia,1
2007_1,Golfo,1
2007_1,Sinaloa,2
2007_1,Zetas,5
2008_1,Beltran_Leyva,1
2008_1,Familia,1
2008_1,Golfo,2
2008_1,Juarez,1
2008_1,Sinaloa,1
2008_1,Zetas,2
2009_1,Beltran_Leyva,1
2009_1,Familia,1
2009_1,Golfo,2
2009_1,Sinaloa,1
2009_1,Zetas,5
2010_1,Beltran_Leyva,1
2010_1,Familia,2
2010_1,Juarez,1
2010_1,Sinaloa,2
2010_1,Zetas,5
2000_2,Sinaloa,2
2000_2,Tijuana,4
2001_2,Golfo,2
2001_2,Sinaloa,1
2001_2,Tijuana,3
2002_2,Sinaloa,2
2002_2,Tijuana,2
2003_2,Juarez,1
2003_2,Tijuana,2
2004_2,Tijuana,5
2004_2,Otros,1
2005_2,Familia,1
2005_2,Golfo,1
2005_2,Juarez,1
2005_2,Sinaloa,2
2005_2,Tijuana,5
2006_2,Beltran_Leyva,1
2006_2,Sinaloa,1
2006_2,Tijuana,5
2006_2,Otros,4
2007_2,Juarez,1
2007_2,Sinaloa,3
2007_2,Sinaloa_Family,1
2007_2,Tijuana,5
2007_2,Zetas,1
2007_2,Otros,5
2008_2,Sinaloa,2
2008_2,Sinaloa_Family,1
2008_2,Tijuana,5
2008_2,Zetas,1
2008_2,Otros,5
2009_2,Familia,1
2009_2,Sinaloa_Family,1
2009_2,Tijuana,5
2009_2,Zetas,2
2009_2,Otros,5
2010_2,Beltran_Leyva,1
2010_2,Familia,2
2010_2,Sinaloa,3
2010_2,Sinaloa_Family,1
2010_2,Tijuana,5
2010_2,Zetas,2
2010_2,Otros,5
2001_3,Tijuana,1
2005_3,Juarez,1
2005_3,Tijuana,1
2006_3,Sinaloa,1
2006_3,Tijuana,2
2007_3,Tijuana,2
2008_3,Familia,1
2008_3,Golfo,1
2008_3,Tijuana,1
2008_3,Otros,1
2009_3,Beltran_Leyva_Family,1
2009_3,Golfo,1
2009_3,Sinaloa,1
2009_3,Tijuana,2
2009_3,Otros,2
2010_3,Sinaloa,1
2010_3,Tijuana,3
2010_3,Otros,2
2000_4,Golfo,1
2001_4,Juarez,1
2002_4,Golfo,1
2003_4,Golfo,1
2003_4,Zetas,1
2004_4,Beltran_Leyva,1
2004_4,Sinaloa,1
2004_4,Zetas,1
2005_4,Sinaloa,1
2006_4,Golfo,1
2006_4,Sinaloa,1
2006_4,Zetas,2
2007_4,Golfo,1
2007_4,Zetas,3
2008_4,Golfo,2
2008_4,Zetas,3
2009_4,Beltran_Leyva,1
2009_4,Golfo,3
2009_4,Zetas,3
2010_4,Beltran_Leyva,1
2010_4,Familia,1
2010_4,Golfo,1
2010_4,Zetas,2
2000_5,Golfo,3
2001_5,Sinaloa,1
2002_5,Juarez,3
2003_5,Golfo,3
2003_5,Juarez,5
2003_5,Tijuana,1
2004_5,Golfo,4
2004_5,Juarez,1
2004_5,Zetas,4
2005_5,Beltran_Leyva,2
2005_5,Familia,1
2005_5,Golfo,2
2005_5,Juarez,5
2005_5,Sinaloa,3
2005_5,Tijuana,2
2005_5,Zetas,3
2006_5,Golfo,3
2006_5,Juarez,2
2006_5,Sinaloa,3
2006_5,Zetas,8
2007_5,Golfo,10
2007_5,Juarez,1
2007_5,Sinaloa,1
2007_5,Zetas,14
2008_5,Beltran_Leyva,4
2008_5,Beltran_Leyva_Family,1
2008_5,Golfo,14
2008_5,Juarez,2
2008_5,Sinaloa,10
2008_5,Sinaloa_Family,1
2008_5,Tijuana,1
2008_5,Zetas,12
2009_5,Beltran_Leyva,3
2009_5,Beltran_Leyva_Family,6
2009_5,Familia,1
2009_5,Golfo,14
2009_5,Juarez,4
2009_5,Sinaloa,4
2009_5,Sinaloa_Family,1
2009_5,Tijuana,3
2009_5,Zetas,15
2009_5,Otros,1
2010_5,Beltran_Leyva_Family,6
2010_5,Familia,2
2010_5,Golfo,17
2010_5,Juarez,8
2010_5,Sinaloa,2
2010_5,Tijuana,6
2010_5,Zetas,17
2000_6,Golfo,2
2001_6,Juarez,1
2001_6,Sinaloa,1
2002_6,Golfo,1
2003_6,Beltran_Leyva,1
2003_6,Juarez,1
2003_6,Sinaloa,1
2004_6,Beltran_Leyva,1
2004_6,Familia,1
2004_6,Golfo,1
2004_6,Sinaloa,1
2005_6,Beltran_Leyva,1
2005_6,Golfo,1
2005_6,Juarez,1
2005_6,Sinaloa,1
2006_6,Sinaloa,1
2007_6,Beltran_Leyva,1
2007_6,Golfo,1
2007_6,Juarez,1
2007_6,Sinaloa,2
2007_6,Sinaloa_Family,1
2007_6,Otros,2
2008_6,Beltran_Leyva,1
2008_6,Golfo,4
2008_6,Sinaloa,2
2008_6,Zetas,1
2009_6,Familia,3
2009_6,Golfo,2
2009_6,Sinaloa,2
2009_6,Zetas,3
2009_6,Otros,2
2010_6,Beltran_Leyva,1
2010_6,Beltran_Leyva_Family,1
2010_6,Familia,4
2010_6,Juarez,1
2010_6,Sinaloa,4
2010_6,Sinaloa_Family,1
2010_6,Tijuana,1
2010_6,Zetas,1
2010_6,Otros,4
2000_7,Juarez,1
2002_7,Golfo,1
2002_7,Tijuana,1
2003_7,Sinaloa,1
2003_7,Tijuana,1
2004_7,Golfo,2
2004_7,Sinaloa,1
